Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070339,1996,01,01,,,
IDCJAC0010,070339,1996,01,02,,,
IDCJAC0010,070339,1996,01,03,,,
IDCJAC0010,070339,1996,01,04,,,
IDCJAC0010,070339,1996,01,05,,,
IDCJAC0010,070339,1996,01,06,,,
IDCJAC0010,070339,1996,01,07,,,
IDCJAC0010,070339,1996,01,08,,,
IDCJAC0010,070339,1996,01,09,,,
IDCJAC0010,070339,1996,01,10,,,
IDCJAC0010,070339,1996,01,11,,,
IDCJAC0010,070339,1996,01,12,,,
IDCJAC0010,070339,1996,01,13,,,
IDCJAC0010,070339,1996,01,14,,,
IDCJAC0010,070339,1996,01,15,,,
IDCJAC0010,070339,1996,01,16,,,
IDCJAC0010,070339,1996,01,17,,,
IDCJAC0010,070339,1996,01,18,,,
IDCJAC0010,070339,1996,01,19,,,
IDCJAC0010,070339,1996,01,20,,,
IDCJAC0010,070339,1996,01,21,,,
IDCJAC0010,070339,1996,01,22,,,
IDCJAC0010,070339,1996,01,23,,,
IDCJAC0010,070339,1996,01,24,,,
IDCJAC0010,070339,1996,01,25,,,
IDCJAC0010,070339,1996,01,26,,,
IDCJAC0010,070339,1996,01,27,,,
IDCJAC0010,070339,1996,01,28,,,
IDCJAC0010,070339,1996,01,29,,,
IDCJAC0010,070339,1996,01,30,,,
IDCJAC0010,070339,1996,01,31,,,
IDCJAC0010,070339,1996,02,01,,,
IDCJAC0010,070339,1996,02,02,,,
IDCJAC0010,070339,1996,02,03,,,
IDCJAC0010,070339,1996,02,04,,,
IDCJAC0010,070339,1996,02,05,,,
IDCJAC0010,070339,1996,02,06,,,
IDCJAC0010,070339,1996,02,07,,,
IDCJAC0010,070339,1996,02,08,,,
IDCJAC0010,070339,1996,02,09,,,
IDCJAC0010,070339,1996,02,10,,,
IDCJAC0010,070339,1996,02,11,,,
IDCJAC0010,070339,1996,02,12,,,
IDCJAC0010,070339,1996,02,13,,,
IDCJAC0010,070339,1996,02,14,,,
IDCJAC0010,070339,1996,02,15,,,
IDCJAC0010,070339,1996,02,16,,,
IDCJAC0010,070339,1996,02,17,,,
IDCJAC0010,070339,1996,02,18,,,
IDCJAC0010,070339,1996,02,19,,,
IDCJAC0010,070339,1996,02,20,,,
IDCJAC0010,070339,1996,02,21,,,
IDCJAC0010,070339,1996,02,22,,,
IDCJAC0010,070339,1996,02,23,,,
IDCJAC0010,070339,1996,02,24,,,
IDCJAC0010,070339,1996,02,25,,,
IDCJAC0010,070339,1996,02,26,,,
IDCJAC0010,070339,1996,02,27,,,
IDCJAC0010,070339,1996,02,28,,,
