creature,141
front,141
object,141
says,141
sky,140
pale,140
afraid,140
chair,140
doing,140
pretty,139
real,138
turning,138
ere,138
walked,137
children,137
comes,137
ladies,137
below,136
afterwards,136
around,136
bear,136
knowledge,135
die,135
book,135
wood,134
sudden,134
scene,134
gentleman,134
months,134
blue,133
sit,133
hundred,132
fact,132
mouth,132
quick,132
thy,132
son,132
green,131
agreement,131
distance,131
particular,131
calm,131
immediately,131
thee,131
beautiful,130
spirit,130
trouble,130
madam,130
presently,129
entirely,129
cottage,129
age,128
caught,128
stopped,128
whale’s,128
darkness,127
mere,127
iron,127
carried,126
character,126
usual,126
promise,126
opinion,126
bright,125
year,125
sitting,125
fancy,124
wait,124
pain,124
smile,124
fair,124
voyage,124
everything,123
early,123
closed,123
conversation,123
fresh,123
pequod,123
fast,122
run,122
fairfax,122
follow,121
notice,121
easy,121
mary,121
road,121
adele,121
“the,120
save,120
peculiar,120
determined,120
leaving,119
deal,119
marriage,119
don’t,118
surprise,118
circumstances,118
week,118
company,118
letters,118
duty,118
states,117
led,117
danger,117
show,117
beneath,117
write,117
bessie,117
running,116
moved,116
information,116
seat,116
dare,116
written,116
instantly,116
brandon,116
vast,115
lived,115
beauty,115
teeth,115
step,115
tears,115
arrived,115
bring,115
speaking,115
walk,115
carriage,115
joy,115
presence,114
engaged,114
whaling,114
sake,114
pounds,114
machine,113
english,113
wide,113
england,113
whilst,113
reed,113
o'clock,113
harker,113
figure,112
appearance,112
effect,112
secret,112
shut,112
license,111
thinking,111
started,111
lower,111
horror,111
please,111
public,111
stranger,111
act,111
thank,111
loved,111
reached,110
considerable,110
journey,110
send,110
trust,110
passage,109
probably,109
drawn,109
impossible,109
delight,109
cry,109
ferrars,109
soft,108
getting,108
threw,108
bad,108
miserable,108
papers,108
knows,108
party,108
noble,108
countenance,108
ought,108
diary,108
raised,107
observed,107
ah,107
united,106
copy,106
slowly,106
unless,106
broad,106
thin,106
remain,106
greater,106
fish,106
somewhat,106
breakfast,106
kindness,106
donations,105
plain,105
waiting,105
resolved,105
glance,105
bent,105
filled,105
especially,105
necessary,105
quickly,105
hat,105
forehead,105
seek,105
trees,104
dinner,104
paper,104
start,104
following,104
charge,104
pity,104
died,104
spent,104
number,103
outside,103
wall,103
learn,103
desire,103
forget,103
formed,103
to-morrow,103
daughter,103
moon,102
rising,102
beginning,102
grave,102
looks,102
task,102
sherlock,102
grey,101
wrong,101
effort,101
quietly,101
six,101
heaven,101
eyre,101
ears,100
despair,100
companion,100
sail,100
copyright,99
showed,99
rushed,99
misery,99
single,99
ill,99
aye,99
lucy's,99
straight,98
surprised,98
laugh,98
situation,98
steps,98
thornfield,98
sisters,98
minute,97
stone,97
foot,97
discovered,97
existence,97
shook,97
monster,97
mad,97
regard,97
glass,96
complete,96
tall,96
school,96
seas,96
women,96
literary,95
floor,95
miles,95
feared,95
sought,95
fortune,95
it’s,94
exactly,94
neck,94
pleasant,94
pointed,94
scarcely,94
experience,94
appear,94
sharp,94
evil,94
i'll,94
archive,93
instead,93
corner,93
evidently,93
passing,93
remarked,93
former,93
sign,93
third,93
books,93
consider,93
brain,93
board,93
eight,92
dream,92
acquaintance,92
leg,92
absolutely,91
box,91
curious,91
makes,91
concerning,91
settled,91
various,91
pray,91
marry,91
afternoon,90
bound,90
spoken,90
society,90
study,90
degree,90
flask,90
leviathan,90
gentlemen,90
weeks,90
to-day,90
obliged,90
barton,90
beside,89
latter,89
touch,89
enter,89
marked,89
snow,89
although,89
nantucket,89
mate,89
amongst,89
memory,88
somehow,88
fall,88
easily,88
features,88
weather,88
exclaimed,88
horses,88
waters,88
anxious,88
yours,88
thick,87
paid,87
holding,87
confidence,87
mark,87
peace,87
key,87
twenty,87
broke,87
forced,87
middleton,87
flowers,86
agree,86
safe,86
patient,86
farther,86
gold,86
dress,86
directly,86
goes,86
coffin,86
wake,86
colour,85
perfectly,85
he’s,85
yesterday,85
top,85
address,85
repeated,85
satisfied,85
devil,85
lie,85
brow,85
giving,85
cabin,85
tail,85
otherwise,85
godalming,85
big,84
paragraph,84
pause,84
writing,84
rise,84
art,84
later,84
worse,84
mighty,84
church,84
likely,84
move,83
unknown,83
stop,83
warm,83
removed,83
generally,83
produced,83
oil,83
considered,83
asleep,83
gentle,83
ocean,83
ships,83
king,83
conduct,83
possibly,82
windows,82
difficulty,82
simple,82
covered,82
plainly,82
excellent,82
prepared,82
moby,82
news,82
sad,82
talking,82
wishes,82
elizabeth,82
seward,82
altogether,81
law,81
garden,81
spite,81
expression,81
wonderful,81
note,81
greatest,81
play,81
grief,81
sailor,81
learned,81
ingram,81
watson,81
lit,80
laughed,80
language,80
merely,80
break,80
paused,80
opportunity,80
stern,80
finally,80
quincey,80
imagine,79
shoulder,79
horrible,79
fate,79
force,79
meant,79
dreadful,79
escape,79
sorry,79
believed,79
dressed,79
eat,79
bottom,79
sank,79
waited,79
traveller,78
creatures,78
lamp,78
direction,78
seated,78
carry,78
curiosity,78
receive,78
rain,78
finished,78
ice,78
worth,78
occasion,78
pleased,78
expect,77
putting,77
terror,77
arrival,77
twice,77
train,77
waves,77
alive,77
ship’s,77
drawing,77
dog,77
assured,76
touched,76
position,76
passion,76
seized,76
hurried,76
bitter,76
ahab’s,76
dared,76
morris,76
dim,75
simply,75
seven,75
watched,75
previous,75
proceeded,75
blow,75
serious,75
doctor,75
talked,75
judgment,75
blind,75
draw,75
ear,75
allow,75
locked,75
equally,75
reply,75
ebook,74
pocket,74
laws,74
narrow,74
mass,74
rich,74
empty,74
distant,74
surely,74
reading,74
supper,74
french,74
moments,74
temple,74
allowed,74
expressed,74
park,74
access,73
hung,73
including,73
sleeping,73
trying,73
perceived,73
cast,73
shock,73
attempt,73
possessed,73
spring,73
suffered,73
indian,73
harpooneer,73
dick,73
boy,73
drive,73
hearing,73
matters,73
rooms,73
explanation,72
telling,72
freely,72
smiled,72
breath,72
proper,72
flesh,72
courage,72
burst,72
fifty,72
food,72
knowing,72
vain,72
affair,72
whispered,72
facts,72
tone,72
listened,72
mother's,72
marianne's,72
trademark,71
watching,71
spread,71
ways,71
fingers,71
savage,71
reach,71
points,71
ourselves,71
health,71
spot,71
engagement,71
important,71
vessel,71
lives,71
lovely,71
girls,71
hill,70
refund,70
sunset,70
explain,70
drove,70
shadow,70
mystery,70
occurred,70
visible,70
lying,70
awful,70
office,70
fit,70
taste,70
tea,70
handsome,70
aid,70
diana,70
space,69
noticed,69
permission,69
hitherto,69
slept,69
difference,69
parts,69
particularly,69
approached,69
clothes,69
throat,69
dread,69
thirty,69
questions,69
advanced,69
middle,69
leaning,69
interesting,69
nose,69
entire,69
circumstance,69
picture,69
event,69
listen,69
liked,69
queer,68
naturally,68
hot,68
dropped,68
pay,68
plan,68
meeting,68
respect,68
earnest,68
that’s,68
lifted,68
east,68
harpoon,68
jonah,68
grand,68
thrown,68
mountains,68
events,68
ring,68
clouds,68
stairs,68
servant,68
associated,67
anyone,67
path,67
begin,67
painful,67
secure,67
beheld,67
behaviour,67
service,67
aspect,67
wrote,67
rolled,67
bow,67
whalemen,67
shot,67
de,67
meantime,67
river,66
tired,66
changed,66
west,66
tale,66
aside,66
claim,66
somewhere,66
chamber,66
influence,66
mortal,66
nay,66
grace,66
lest,66
convinced,66
hopes,66
crime,66
can't,66
sister's,66
dust,65
fee,65
grow,65
heads,65
careful,65
servants,65
supposed,65
result,65
opening,65
chase,65
mentioned,65
youth,65
lock,65
journal,65
possession,64
shape,64
walls,64
fears,64
hills,64
search,64
action,64
command,64
lies,64
city,64
pip,64
offered,64
honour,64
palmer,64
loose,63
carefully,63
ivory,63
pipe,63
ease,63
remembered,63
destroy,63
loss,63
strike,63
touching,63
cases,63
comfortable,63
bit,63
truly,63
eager,63
candle,63
storm,63
guess,63
bildad,63
gained,63
manners,63
match,62
huge,62
pressed,62
provided,62
sides,62
fashion,62
immediate,62
remains,62
imagination,62
keeping,62
moonlight,62
dying,62
sufficient,62
lines,62
prove,62
fully,62
violent,62
offer,62
rivers,62
resolution,62
harker's,62
odd,61
support,61
burning,61
understood,61
express,61
swept,61
rate,61
beat,61
continually,61
working,61
agony,61
proved,61
bones,61
equal,61
horse,61
history,61
sorrow,61
prevent,61
wound,61
sprang,61
helen,61
ma'am,61
elinor's,61
sounds,60
fallen,60
smoke,60
bell,60
i’ll,60
emotion,60
cheerful,60
contrary,60
assure,60
“but,59
brown,59
provide,59
nearer,59
slight,59
nevertheless,59
using,59
property,59
required,59
south,59
suffer,59
deeply,59
sympathy,59
forgive,59
fishery,59
peleg,59
sailors,59
frequently,59
bread,59
uncle,59
unhappy,59
won't,59
“and,58
signs,58
edge,58
coat,58
places,58
knees,58
occupied,58
centre,58
accept,58
lead,58
walking,58
piece,58
anxiety,58
whence,58
delay,58
doubtless,58
jaw,58
brave,58
firm,58
gloom,58
excited,58
melancholy,58
lose,58
favour,58
castle,58
instance,57
moving,57
doors,57
surface,57
forgotten,57
meaning,57
confess,57
regarded,57
completely,57
aloft,57
aware,57
actually,57
ordinary,57
drop,57
skin,57
fond,57
wretched,57
man’s,57
hearts,57
private,57
cross,57
liberty,57
seward's,57
shone,56
disappeared,56
species,56
gently,56
discover,56
examined,56
finding,56
cloud,56
leaves,56
active,56
pulled,56
similar,56
orders,56
clean,56
desired,56
content,56
avoid,56
attached,56
whenever,56
chief,56
ha,56
seldom,56
fail,56
exceedingly,56
declared,56
solemn,56
alas,56
boxes,56
quitted,56
acquainted,56
it's,56
growing,55
faint,55
section,55
impression,55
owner,55
worn,55
extreme,55
dawn,55
ideas,55
finger,55
weary,55
wet,55
presented,55
anywhere,55
unable,55
bearing,55
satisfaction,55
gathered,55
cheeks,55
observe,55
mistaken,55
throw,55
singular,55
share,55
precisely,55
spare,55
native,55
bag,55
pride,55
hate,55
angel,55
station,55
police,55
trace,54
copies,54
energy,54
habit,54
flame,54
powers,54
discovery,54
takes,54
lonely,54
likewise,54
favourite,54
succeeded,54
advantage,54
relief,54
gay,54
inquiry,54
direct,54
wholly,54
loud,54
fearful,54
breast,54
nurse,54
lowood,54
mason,54
mama,54
endeavoured,54
clerval,54
gallery,53
perfect,53
vague,53
valley,53
ceased,53
weak,53
additional,53
circle,53
science,53
ones,53
destroyed,53
condition,53
field,53
dry,53
turns,53
welcome,53
strangely,53
intervals,53
kill,53
souls,53
there’s,53
north,53
harpooneers,53
o,53
shore,53
utmost,53
square,53
winter,53
post,53
norland,53
clearly,52
animal,52
faces,52
necessity,52
efforts,52
comply,52
interval,52
falling,52
yellow,52
reflection,52
holder,52
movement,52
noise,52
suffering,52
upper,52
awake,52
solitary,52
weight,52
deadly,52
original,52
approach,52
returning,52
precious,52
craft,52
wondrous,52
conscience,52
village,52
unfortunate,52
brocklehurst,52
apparently,51
distributing,51
sensations,51
individual,51
frame,51
pair,51
mist,51
directed,51
shoulders,51
quarter,51
sick,51
domain,51
summer,51
bird,51
pull,51
bone,51
nine,51
tashtego,51
nigh,51
born,51
period,51
gazed,51
disposition,51
breathing,50
“what,50
medium,50
legs,50
houses,50
rock,50
daily,50
limbs,50
dreams,50
grown,50
disappointment,50
keen,50
anguish,50
concern,50
striking,50
stretched,50
promised,50
wooden,50
flew,50
conviction,50
details,50
endure,50
proceed,50
opposite,50
excuse,50
rapidly,50
lot,50
request,50
lake,50
bows,50
midnight,50
regular,50
bore,50
drink,50
superior,50
grim,50
grounds,50
extraordinary,50
bless,50
entrance,50
importance,50
music,50
solitude,50
justine,50
race,49
golden,49
ebooks,49
grass,49
smiling,49
recovered,49
hoped,49
cheek,49
judge,49
remarkable,49
month,49
shown,49
astonishment,49
difficult,49
pursued,49
eagerly,49
drawing-room,49
joined,49
addressed,49
intention,49
noon,49
pequod’s,49
rope,49
american,49
woe,49
twelve,49
employed,49
faith,49
nervous,49
parted,49
wants,49
goodness,49
connection,49
man's,49
“it,48
stars,48
date,48
tree,48
deeper,48
explained,48
fierce,48
due,48
higher,48
enemy,48
ancient,48
gives,48
sentence,48
german,48
attend,48
mild,48
evidence,48
angry,48
kissed,48
neighbourhood,48
darted,48
kindly,48
birds,48
sharks,48
mention,48
lively,48
dangerous,48
experienced,48
fastened,48
softly,48
shortly,48
sum,48
raise,48
busy,48
retired,48
prospect,48
lately,48
rochester's,48
laughing,47
contact,47
tax,47
horizon,47
greatly,47
constant,47
surrounded,47
tongue,47
increased,47
appears,47
mistake,47
thrust,47
library,47
woods,47
accustomed,47
hurry,47
obvious,47
murder,47
rush,47
safety,47
fly,47
sailed,47
thinks,47
hanging,47
torn,47
mountain,47
rage,47
intended,47
pure,47
entering,47
join,47
quit,47
sunk,47
proof,47
felix,47
building,46
problem,46
web,46
excitement,46
breeze,46
4,46
heavens,46
breaking,46
frightened,46
hollow,46
steady,46
hence,46
yards,46
departed,46
described,46
bringing,46
level,46
example,46
capable,46
pursuit,46
glancing,46
stepped,46
sails,46
port,46
spend,46
success,46
beloved,46
justice,46
wolves,46
dearest,46
robert,46
arranged,46
pushed,45
