prop_id,name,location,zip
B094,Sgt. Joyce Kilmer Triangle,"E. 12 St., Kings Hwy., Quentin Rd.",11229
B095,Ennis Playground,"11 St., 12 St. bet. 2 Ave. and 3 Ave.",11215
B096,Sgt. William Dougherty Playground,Vandervoort Ave. bet. Cherry St. and Anthony St.,11222
B097,Sledge Playground,E. 95 St. bet. Ave. L and Ave. K,11236
B098,Martin Luther Playground,2 Ave. bet. 55 St. and 56 St.,11220
B099,Lt. Joseph Petrosino Park,"16 Ave., New Utrecht Ave. bet. 70 St. and 71 St.",11228
B100,Seth Low Playground/ Bealin Square,W. 12 St. bet. Bay Pkwy. and Ave. P,11204
B102,Crispus Attucks Playground,Classon Ave. bet. Fulton St. and Lefferts Pl.,11238
B103,Cypress Hills Playground,Euclid Ave. bet. Dumont Ave. and Blake Ave.,11208
B105,Taaffe Playground,Taaffe Pl. bet. Park Ave. and Myrtle Ave.,11205
B106A,Scarangella Park,"W. 13 St., Stillwell Ave. bet. Ave. U and Ave. V",11223
B106B,Lafayette Playground,"Stillwell Ave., Benson Ave., Bay 43 St.",11214
B107,Lion's Pride Playground,Riverdale Ave. bet. Van Sinderen Ave. and Snediker Ave.,11207
B109,Bill Brown Playground,"Ave. Y, Ave. X bet. E. 24 St. and Bedford Ave.",11235
B110,Marion Hopkinson Playground,Hopkinson Ave. bet. Marion St. and Chauncey St.,11233
B111,J.J. Byrne Playground,"3 St., 4 St. bet. 4 Ave. and 5 Ave.",11215
B111A,Washington Park,"5 St., 4 St. bet. 4 Ave. and 5 Ave.",11215
B113A,Cadman Plaza Park,"Cadman Plaza West, Cadman Plaza East bet. BQE and Tillary St.",11201
B113B,Korean War Veterans Plaza,"Cadman Plaza West, Cadman Plaza East bet. Tillary St. and Johnson St.",11201
B113C,Columbus Park,"Adam St., Court St., Cadman Plaza West bet. Johnson St. and Fulton St.",11201
B113E,Walt Whitman Park,"Cadman Plaza East, Adams St. bet. Red Cross Pl. and Tillary St. ",11201
B114,Msgr. McGolrick Park,"Russell St., Monitor St. bet. Nassau Ave. and Driggs Ave.",11222
B115,Cohn Triangle,Bedford Ave. at Division Ave.,11211
B116,Zion Triangle,"Pitkin Ave., E. New York Ave. bet. Crafton St. and Legon St.",11212
B117,Lindsay Triangle,"Throop Ave., Lormer St., Broadway",11206
B118A,St. Mary's Park,Smith St. bet. Luquer St. and Nelson St.,11231
B118B,St. Mary's Park,Smith St. bet. Nelson St. and Huntington St.,11231
B121,Dodger Playground,Sullican Pl. bet. Rogers Ave. and Nostrand Ave.,11225
B123,Alben Triangle,"46 St., 11 Ave., New Utrecht Ave.",11219
B124,William Sheridan Playground,Wythe Ave. bet. Grand St. and S. 1 St.,11211
B125,Calvert Vaux Park,"Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy.",11214
B126,Red Hook Recreation Area,"Halleck St., Bush St. bet. Otsego St. and Court St. ",11231
B126A,Todd Triangle,Halleck St. at Columbia St.,11231
B127,Martinez Playground,Scholes St. bet. Manhattan Ave. and Graham Ave.,11206
B128,Colonel David Marcus Playground,Ave. P bet. E. 4 St. and Ocean Pkwy.,11230
B129,Kaiser Park,"Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.",11224
B130,Greenwood Playground,"Ft Hamilton Pkwy., Prospect Ave., Greenwood Ave.",11218
B131,Rudd Playground,"Arberdeen St., Furman Ave. north of Bushwick Ave.",11207
B132,Gilbert Ramirez Park,Mc Kibbin St. bet. White St. and Bogart St.,11206
B135,Newtown Barge Playground,"Commercial St., Dupont St.",11222
B137,Sixteen Sycamores Playground,Schermerhorn St. bet. Nevins St. and 3 Ave.,11217
B139,Heckscher Playground,Linden St. bet. Central Ave. and Wilson Ave.,11221
B140,Banneker Playground,Macy Ave. bet. Lafayette Ave. and Kosciuszko St.,11216
B141,City Line Park,Atlantic Ave. bet. Fountain Ave. and N. Conduit Ave.,11208
B142,Bedford Playground,Bedford Ave. bet. S. 9 St. and Division Ave.,11211
B144,Ocean Hill Playground,"Dean St., Bergen St. bet. Rockaway Ave.and Hopkinson Ave.",11233
B145,Thomas Greene Playground,"Nevins St., 3 Ave., bet. De Graw St. and Douglas St. ",11217
B146,Quaker Parrot Park at the Dust Bowl,8 Ave. bet. 65 St. and 66 St. ,11220
B147,Monsignor Crawford Field,"Ave. U bet. E. 58 St., E. 59 St., and E. 60 St.",11234
B148,Rolph Henry Playground,"Clarkson Ave., New York Ave.",11226
B149A,Elton Playground,Elton St. bet. New Lots Ave. and Hegeman Ave.,11208
B149B,Linwood Playground,Linwood St. bet. New Lots Ave. and Hegeman Ave.,11208
B150,Kolbert Playground,Ave. L bet. E. 17 St. and E. 18 St.,11230
B151,Dome Playground,Dahill Rd. bet. 37 St. and 38 St.,11218
B152,Rappaport Playground,Ft. Hamilton Pkwy. bet. 52 St. and 53 St.,11219
B153,South Pacific Playground,Howard Ave. bet. Pacific St. and Dean St.,11233
B154,Berry Playground,S. 3 St. bet. Berry St. and Bedford Ave.,11211
B155,Triangle,"New Lots Ave., Dumont Ave., Atkins Ave.",11208
B156,Powell Playground,Sackman To Powell Sts bet. Glenmore and Pit,11212
B157,Kelly Park Playground,"Ave. S, Morre Pl. bet. E. 16 St. and E. 17 St.",11229
B158,Garibaldi Playground,18 Ave. bet. 83 St. and 82 St.,11214
B159,Mount Prospect Park,"Eastern Pkwy., Flatbush Ave. bet. Underhill Ave. and Washington Ave.",11238
B160,Ketchum Triangle,"Quentin Rd., Kings Hwy., W. 9 St.",11223
B161,Underhill Playground,Underhill Ave. bet. Prospect Pl. and Park Pl.,11238
B162,Brizzi Playground,"10 Ave., New Utrecht Ave. bet. 43 St. and 42 St. ",11219
B163,Sperandeo Brothers Playground,"Atlantic Ave., Cleveland St. and Liberty Ave.",11208
B164,Bath Beach Park,Shore Pkwy. bet. Bay 14 St. and Bay 16 St.,11214
B165,Spring Creek Park,"Fountain Ave., 75 St. bet. Belt Pkwy., Flatlands Ave.,","11208, 11414"
B165A,Spring Creek Park,"Belt Pkwy., Fresh Creek, Seaview Ave.",11239
B166,Belt Parkway/Shore Parkway,Belt Pkwy. bet. Verrazano Bridge and Cross Bay Blvd.,"11208, 11209, 11214, 11223, 11228, 11234, 11235, 1"
B166B,Homecrest Playground,"Belt Pkwy., Williams Court  bet. E. 12 St. and Homecrest Ave",11235
B166C,Coney Island Boat Basin,W. 22 St. bet. Bay 56 St. and Shore Pkwy.,11214
B166D,McGuire Fields,"Ave Y., Bergen Ave. bet. Ave. V and Belt Pkwy.",11234
B166E,Sixteen Lindens Triangle,"E. 16 St., Shore Pkwy., Bay Ct. ",11235
B167,La Guardia Playground,S. 4 St. bet. Roebling St. and Williamsburg Bridge Ramp,11211
B167A,La Guardia Playground,"S. 5 St., Broadway, Havemeyer St.",11211
B168,Continental Army Plaza,S. 4 St. bet. S. 5 Pl. and Roebling St.,11211
B169,Coney Island Beach & Boardwalk,"Corbin Pl. to W. 37 St., Boardwalk","11224, 11235"
B169A,Brighton Playground,Brighton 2 St. bet. Brightwater Ct. and Boardwalk E.,11235
B169B,Poseidon Playground,"Surf Ave. bet. W. 25 St. to W. 27 St., Boardwalk",11224
B171,Linden Sitting Area,"Linden Blvd., Church Ave., E. 92 St.",11236
B172,Heffernan Triangle,"New Utrecht Ave., 9 Ave., 39 St.",11219
B173,Fraser Square,"Kings Highway, Ave. M, E. 34 St. to E. 35 St.",11234
B174,Park,"Willmohr St., E. 91 St., Linden Blvd.",11212
B175,Dahill Triangle,"Dahill Rd., 24 Ave., 62 St.",11204
B176,Trust Triangle,"Flatbush Ave., Schenctady Ave., Ave. O",11234
B178,Flatbush Malls,Glenwood Rd. bet. E. 23 St. and Coney Island Ave.,"11210, 11230"
B179,Flatbush Malls,E. 17 St. bet. Foster Ave. and Ave. H,11230
B180,Flatbush Mall,"E. 17 St., South of Ave. H",11230
B182,Howard Malls,"Blake Ave., Tapscott St., Howard Ave.",11212
B184,Avenue R Mall,Ave. R from E. 7 St. To Coney Island Ave.,11223
B190,Barone Triangle,"Ave. U, E. 71 St., Veterans Ave.",11234
B191,Park,"New Utrecht Ave., 45 St., Ft Hamilton Pkwy.",11219
B192,Russell Pedersen Playground,Colonial Rd. from 83 St. to 85 St.,11209
B192A,Fort Hamilton Athletic Field,83 St. to 85 St. bet. Colonial Rd. and Narrows Ave.,11209
B193,Hamilton Metz Field,"Albany Ave., E. New York Ave., Lefferts Ave.",11203
B194,Harmony Triangle,"Middleton St., Harrison Ave., Union Ave.",11206
B196,Pvt. Sonsire Triangle,"Union Ave., N. 11 St. and Roebling St.",11211
B197,Mellett Playground,Avenue V bet. E. 13 St. and E. 14 St.,11229
B198,Kings Highway Malls,Kings Highway between 25 St. and 98 St.,"11203, 11210, 11212, 11229, 11234"
BZ155,Greenstreet,Kings Hwy btw Troy Ave & E 41st St (nw),NA
BZ157,Greenstreet,Kings Hwy btw Troy Ave & E 41st St (ne),NA
BZ158,Greenstreet,Kings Hwy btw Troy Ave & E 41st St (e),NA
B200,Elizabeth Stroud Playground,Stuyvesant Ave. and Fulton St.,11233
B202,Lithuania Square,"Stagg St., Hewes St., Union Ave.",11211
B205,Corporal Wiltshire Square,"Ave. P, Kings Hwy., Ocean Ave.",11229
B206,Sunners Playground,Avenue H bet. Kings Hwy. and E. 49 St.,11234
B207,Sarsfield Playground,"E. 38 St., Ave. M, Flatlands Ave.",11234
B208,Pfc Norton Playground,Nostrand Ave. bet. Kings Hwy. and Ave. P,11229
B209,Galapo Playground,"Bedford Ave., Gravesend Neck Rd., Ave. V, E. 24 St. ",11229
B210A,John Allen Payne Playground,3 Ave. bet. 64 St. and 65 St.,11220
B210B,D'Emic Playground,3 Ave. bet. 35 St. and 34 St. ,11232
B210C,Cough Triangle,"Hamilton Ave., Court St. Garnet St.",11231
B210F,Admiral Triangle,"Hamilton Ave., Nelson St. Clinton St.",11231
B210G,Triangle Three Sixteen,3 Ave. bet. Hamilton Ave. and 16 St.,11215
B210H,Harold Ickes Playground,Hamitlon Ave. ber. Van Brunt St. and Woodull St.,11231
B210I,Gonzalo Plasencia Playground,3 Ave. bet. 40 St. and 41 St.,11232
B210J,Pena Herrera Playground,3 Ave. bet. 47 St. and 46 St.,11220
B210P,Dan Ross Playground,7 Ave. bet. 81 St. and 82 St.,11209
