This file contains the monthly mean baseline (background) carbon dioxide (CO2) concentration,
"measured at the Cape Grim Baseline Air Pollution Station (CGBAPS), ",
"located near the north-west tip of Tasmania, Australia.",
"CGBAPS is funded and managed by the Australian Bureau of Meteorology, and",
the scientific program is jointly supervised with CSIRO Oceans & Atmosphere.,
Please acknowledge these two institutions if these data are used in publications or presentations.,
,
For more information on Cape Grim please see:,
http://www.csiro.au/greenhouse-gases/,
https://www.csiro.au/en/Research/OandA/Areas/Assessing-our-climate/Greenhouse-gas-data,
http://www.bom.gov.au/inside/cgbaps/,
,
The CO2 units are parts per million in dry air (ppm).,
,
The most recent year of data is provided in this file on,
a provisional basis only. These data may be subject to further revision. ,
CSIRO & the Bureau make every effort to produce the most accurate and ,
"precise measurements possible. However, they reserve the right to make",
corrections to the data based on recalibration of standard gases,
or for other reasons deemed scientifically justified.,
Please see the full terms & conditions at the end of this file.,
,
Release Date: May 2019,
 ,
YYYY,MM,DD,DATE,CO2(ppm),SD(ppm),Source
2015,8,15,2015.619180000000,398.180,0.159000,"in situ"
2015,9,15,2015.704110000000,398.367,0.166000,"in situ"
2015,10,15,2015.786300000000,398.409,0.138000,"in situ"
2015,11,15,2015.871230000000,398.538,0.136000,"in situ"
2015,12,15,2015.953420000000,398.578,0.104000,"in situ"
2016,1,15,2016.038250000000,398.704,0.162000,"in situ"
2016,2,15,2016.122950000000,398.985,0.201000,"in situ"
2016,3,15,2016.202190000000,399.227,0.215000,"in situ"
2016,4,15,2016.286890000000,399.588,0.232000,"in situ"
2016,5,15,2016.368850000000,400.096,0.184000,"in situ"
2016,6,15,2016.453550000000,400.630,0.207000,"in situ"
2016,7,15,2016.535520000000,401.156,0.201000,"in situ"
2016,8,15,2016.620220000000,401.459,0.117000,"in situ"
2016,9,15,2016.704920000000,401.605,0.135000,"in situ"
2016,10,15,2016.786890000000,401.647,0.122000,"in situ"
2016,11,15,2016.871580000000,401.378,0.157000,"in situ"
2016,12,15,2016.953550000000,401.179,0.153000,"in situ"
2017,1,15,2017.038360000000,401.169,0.165000,"in situ"
2017,2,15,2017.123290000000,401.152,0.167000,"in situ"
2017,3,15,2017.200000000000,401.249,0.110000,"in situ"
2017,4,15,2017.284930000000,401.517,0.148000,"in situ"
2017,5,15,2017.367120000000,401.748,0.124000,"in situ"
2017,6,15,2017.452050000000,402.042,0.197000,"in situ"
2017,7,15,2017.534250000000,402.690,0.245000,"in situ"
2017,8,15,2017.619180000000,403.264,0.136000,"in situ"
2017,9,15,2017.704110000000,403.483,0.0890000,"in situ"
2017,10,15,2017.786300000000,403.621,0.153000,"in situ"
2017,11,15,2017.871230000000,403.729,0.104000,"in situ"
2017,12,15,2017.953420000000,403.745,0.187000,"in situ"
2018,1,15,2018.038360000000,403.800,0.185000,"in situ"
2018,2,15,2018.123290000000,403.856,0.162000,"in situ"
2018,3,15,2018.200000000000,403.940,0.143000,"in situ"
2018,4,15,2018.284930000000,404.203,0.181000,"in situ"
2018,5,15,2018.367120000000,404.436,0.131000,"in situ"
2018,6,15,2018.452050000000,404.700,0.161000,"in situ"
2018,7,15,2018.534250000000,405.205,0.214000,"in situ"
2018,8,15,2018.619180000000,405.674,0.133000,"in situ"
2018,9,15,2018.704110000000,405.884,0.0970000,"in situ"
2018,10,15,2018.786300000000,405.937,0.152000,"in situ"
2018,11,15,2018.871230000000,405.860,0.158000,"in situ"
2018,12,15,2018.953420000000,405.792,0.143000,"in situ"
2019,1,15,2019.038360000000,405.779,0.182000,"in situ"
2019,2,15,2019.123290000000,405.702,0.154000,"in situ"
2019,3,15,2019.200000000000,405.840,0.194000,"in situ"
2019,4,15,2019.284930000000,406.242,0.148000,"in situ"
