Station,Year,Month,Day,Max Temp (C),Quality
68228,1997,9,24,15,Y
68228,1997,9,25,17,Y
68228,1997,9,26,20,Y
68228,1997,9,27,21,Y
68228,1997,9,28,17,Y
68228,1997,9,29,16,Y
68228,1997,9,30,18,Y
68228,1997,10,1,20,Y
68228,1997,10,2,32,Y
68228,1997,10,3,26,Y
68228,1997,10,4,16,Y
68228,1997,10,5,19,Y
68228,1997,10,6,16,Y
68228,1997,10,7,18,Y
68228,1997,10,8,22,Y
68228,1997,10,9,20,Y
68228,1997,10,10,25,Y
68228,1997,10,11,33,Y
68228,1997,10,12,27,Y
68228,1997,10,13,20,Y
68228,1997,10,14,21,Y
68228,1997,10,15,19,Y
68228,1997,10,16,21,Y
68228,1997,10,17,19,Y
68228,1997,10,18,16,Y
68228,1997,10,19,17,Y
68228,1997,10,20,16,Y
68228,1997,10,21,17,Y
68228,1997,10,22,19,Y
68228,1997,10,23,20,Y
68228,1997,10,24,21,Y
68228,1997,10,25,,
68228,1997,10,26,,
68228,1997,10,27,22,N
68228,1997,10,28,19,Y
68228,1997,10,29,27,Y
68228,1997,10,30,22,Y
68228,1997,10,31,22,Y
68228,1997,11,1,26,Y
68228,1997,11,2,21,Y
68228,1997,11,3,19,Y
68228,1997,11,4,18,Y
68228,1997,11,5,20,Y
68228,1997,11,6,22,Y
68228,1997,11,7,24,Y
68228,1997,11,8,18,Y
68228,1997,11,9,21,Y
68228,1997,11,10,25,Y
68228,1997,11,11,33,Y
68228,1997,11,12,21,Y
68228,1997,11,13,25,Y
68228,1997,11,14,31,Y
68228,1997,11,15,21,Y
68228,1997,11,16,23,Y
68228,1997,11,17,21,Y
68228,1997,11,18,24,Y
68228,1997,11,19,24,Y
68228,1997,11,20,21,Y
68228,1997,11,21,22,Y
68228,1997,11,22,23,Y
68228,1997,11,23,23,Y
68228,1997,11,24,22,Y
68228,1997,11,25,25,Y
68228,1997,11,26,,
68228,1997,11,27,35,N
68228,1997,11,28,21,Y
68228,1997,11,29,29,Y
68228,1997,11,30,22,Y
68228,1997,12,1,28,Y
68228,1997,12,2,37,Y
68228,1997,12,3,21,Y
68228,1997,12,4,23,Y
68228,1997,12,5,21,Y
68228,1997,12,6,25,Y
68228,1997,12,7,23,Y
68228,1997,12,8,23,Y
68228,1997,12,9,23,Y
68228,1997,12,10,22,Y
68228,1997,12,11,23,Y
68228,1997,12,12,25,Y
68228,1997,12,13,27,Y
68228,1997,12,14,28,Y
68228,1997,12,15,25,Y
68228,1997,12,16,28,Y
68228,1997,12,17,31,Y
68228,1997,12,18,24,Y
68228,1997,12,19,31,Y
68228,1997,12,20,24,Y
68228,1997,12,21,33,Y
68228,1997,12,22,26,Y
68228,1997,12,23,25,Y
68228,1997,12,24,24,Y
68228,1997,12,25,25,Y
68228,1997,12,26,26,Y
68228,1997,12,27,20,Y
68228,1997,12,28,23,Y
68228,1997,12,29,25,Y
68228,1997,12,30,25,Y
68228,1997,12,31,25,Y
68228,1998,1,1,25,Y
68228,1998,1,2,24,Y
68228,1998,1,3,25,Y
68228,1998,1,4,22,Y
68228,1998,1,5,21,Y
68228,1998,1,6,22,Y
68228,1998,1,7,24,Y
68228,1998,1,8,24,Y
68228,1998,1,9,26,Y
68228,1998,1,10,24,Y
68228,1998,1,11,26,Y
68228,1998,1,12,26,Y
68228,1998,1,13,25,Y
68228,1998,1,14,28,Y
68228,1998,1,15,31,Y
68228,1998,1,16,23,Y
68228,1998,1,17,25,Y
68228,1998,1,18,,
68228,1998,1,19,,
