Station,Year,Month,Day,MaxTemp (C),Quality
70339,2015,10,23,16.5,Y
70339,2015,10,24,22.4,Y
70339,2015,10,25,26.5,Y
70339,2015,10,26,26.7,Y
70339,2015,10,27,17.3,Y
70339,2015,10,28,22.3,Y
70339,2015,10,29,24.9,Y
70339,2015,10,30,24.7,Y
70339,2015,10,31,21,Y
70339,2015,11,1,23.2,Y
70339,2015,11,2,24.9,Y
70339,2015,11,3,20.9,Y
70339,2015,11,4,19.2,Y
70339,2015,11,5,19.6,Y
70339,2015,11,6,23.1,Y
70339,2015,11,7,22.9,Y
70339,2015,11,8,20.9,Y
70339,2015,11,9,27.1,Y
70339,2015,11,10,29.9,Y
70339,2015,11,11,18.4,Y
70339,2015,11,12,21.8,Y
70339,2015,11,13,23.2,Y
70339,2015,11,14,14.2,Y
70339,2015,11,15,20.3,Y
70339,2015,11,16,22.3,Y
70339,2015,11,17,26.1,Y
70339,2015,11,18,29.5,Y
70339,2015,11,19,33.7,Y
70339,2015,11,20,34.5,Y
70339,2015,11,21,25.7,Y
70339,2015,11,22,24.2,Y
70339,2015,11,23,25.5,Y
70339,2015,11,24,26.4,Y
70339,2015,11,25,29.5,Y
70339,2015,11,26,22.1,Y
70339,2015,11,27,22.5,Y
70339,2015,11,28,26.1,Y
70339,2015,11,29,26.6,Y
70339,2015,11,30,27.8,Y
70339,2015,12,1,33.4,Y
70339,2015,12,2,22.7,Y
70339,2015,12,3,26.5,Y
70339,2015,12,4,29.9,Y
70339,2015,12,5,30.8,Y
70339,2015,12,6,32.4,Y
70339,2015,12,7,26.5,Y
70339,2015,12,8,27.3,Y
70339,2015,12,9,29.9,Y
70339,2015,12,10,30.6,Y
70339,2015,12,11,26.3,Y
70339,2015,12,12,26.2,Y
70339,2015,12,13,27,Y
70339,2015,12,14,31.8,Y
70339,2015,12,15,30.1,Y
70339,2015,12,16,25.1,Y
70339,2015,12,17,29.6,Y
70339,2015,12,18,33.4,Y
70339,2015,12,19,35.7,Y
70339,2015,12,20,36.6,Y
70339,2015,12,21,27.5,Y
70339,2015,12,22,23.9,Y
70339,2015,12,23,25.1,Y
70339,2015,12,24,25.4,Y
70339,2015,12,25,28,Y
70339,2015,12,26,22.2,Y
70339,2015,12,27,22.9,Y
70339,2015,12,28,24.5,Y
70339,2015,12,29,30.1,Y
70339,2015,12,30,31.7,Y
70339,2015,12,31,33.4,Y
70339,2016,1,1,34.2,Y
70339,2016,1,2,26.8,Y
70339,2016,1,3,23.3,Y
70339,2016,1,4,19.2,Y
70339,2016,1,5,18.2,Y
70339,2016,1,6,20.3,Y
70339,2016,1,7,24.3,Y
70339,2016,1,8,29.1,Y
70339,2016,1,9,30.9,Y
70339,2016,1,10,33.8,Y
70339,2016,1,11,35,Y
70339,2016,1,12,36.7,Y
70339,2016,1,13,38.7,Y
70339,2016,1,14,32.4,Y
70339,2016,1,15,21,Y
70339,2016,1,16,22.3,Y
70339,2016,1,17,25.7,Y
70339,2016,1,18,30.3,Y
70339,2016,1,19,34.3,Y
70339,2016,1,20,34.9,Y
70339,2016,1,21,33,Y
70339,2016,1,22,26.7,Y
70339,2016,1,23,28.1,Y
70339,2016,1,24,28.8,Y
70339,2016,1,25,26.1,Y
70339,2016,1,26,26.3,Y
70339,2016,1,27,22.4,Y
70339,2016,1,28,28.8,Y
70339,2016,1,29,22.8,Y
70339,2016,1,30,24.8,Y
70339,2016,1,31,20.6,Y
70339,2016,2,1,21.4,Y
70339,2016,2,2,26.1,Y
70339,2016,2,3,27,Y
70339,2016,2,4,24.7,Y
70339,2016,2,5,23.3,Y
70339,2016,2,6,24.9,Y
70339,2016,2,7,29.7,Y
70339,2016,2,8,31.5,Y
70339,2016,2,9,29.6,Y
70339,2016,2,10,31.7,Y
70339,2016,2,11,29.1,Y
70339,2016,2,12,29.3,Y
70339,2016,2,13,32,Y
70339,2016,2,14,32.2,Y
70339,2016,2,15,28.9,Y
70339,2016,2,16,26.4,Y
70339,2016,2,17,25.2,Y
70339,2016,2,18,28.6,Y
70339,2016,2,19,30.3,Y
70339,2016,2,20,30,Y
70339,2016,2,21,29.2,Y
70339,2016,2,22,32.7,Y
70339,2016,2,23,34.1,Y
70339,2016,2,24,35.9,Y
70339,2016,2,25,36.9,Y
70339,2016,2,26,32.3,Y
70339,2016,2,27,25.2,Y
70339,2016,2,28,30.8,Y
70339,2016,2,29,25.5,Y
70339,2016,3,1,30.6,Y
70339,2016,3,2,33.1,Y
70339,2016,3,3,33.7,Y
70339,2016,3,4,32.2,Y
70339,2016,3,5,34.8,Y
70339,2016,3,6,33.3,Y
70339,2016,3,7,34.4,Y
70339,2016,3,8,32.1,Y
70339,2016,3,9,33,Y
70339,2016,3,10,31,Y
70339,2016,3,11,24.1,Y
70339,2016,3,12,30.4,Y
70339,2016,3,13,29.8,Y
70339,2016,3,14,29.2,Y
70339,2016,3,15,23,Y
70339,2016,3,16,24,Y
70339,2016,3,17,26.8,Y
70339,2016,3,18,20.4,Y
70339,2016,3,19,19.8,Y
70339,2016,3,20,19.8,Y
70339,2016,3,21,20.8,Y
70339,2016,3,22,22,Y
70339,2016,3,23,24.4,Y
70339,2016,3,24,20.9,Y
70339,2016,3,25,25.1,Y
70339,2016,3,26,26.1,Y
70339,2016,3,27,25.7,Y
70339,2016,3,28,22.8,Y
70339,2016,3,29,21.9,Y
70339,2016,3,30,23,Y
70339,2016,3,31,23.3,Y
70339,2016,4,1,24.1,Y
70339,2016,4,2,25.4,Y
70339,2016,4,3,24,Y
70339,2016,4,4,24.5,Y
70339,2016,4,5,28.1,Y
70339,2016,4,6,29.9,Y
70339,2016,4,7,22.6,Y
70339,2016,4,8,19.1,Y
70339,2016,4,9,22.3,Y
70339,2016,4,10,23.2,Y
70339,2016,4,11,24,Y
70339,2016,4,12,23.3,Y
70339,2016,4,13,21.9,Y
70339,2016,4,14,24.1,Y
70339,2016,4,15,26.1,Y
70339,2016,4,16,21.6,Y
70339,2016,4,17,19.6,Y
70339,2016,4,18,21.8,Y
70339,2016,4,19,23.4,Y
70339,2016,4,20,24.9,Y
70339,2016,4,21,25.7,Y
70339,2016,4,22,18.7,Y
70339,2016,4,23,19.3,Y
70339,2016,4,24,21.3,Y
70339,2016,4,25,23,Y
70339,2016,4,26,24,Y
70339,2016,4,27,23.5,Y
70339,2016,4,28,24.2,Y
70339,2016,4,29,24.2,Y
70339,2016,4,30,23.2,Y
70339,2016,5,1,20.5,Y
70339,2016,5,2,16.1,Y
70339,2016,5,3,17.9,Y
70339,2016,5,4,17.4,Y
70339,2016,5,5,19.3,Y
70339,2016,5,6,22.2,Y
70339,2016,5,7,22.9,Y
70339,2016,5,8,15.7,Y
70339,2016,5,9,16.7,Y
70339,2016,5,10,16,Y
70339,2016,5,11,14.2,Y
70339,2016,5,12,17,Y
70339,2016,5,13,19.9,Y
70339,2016,5,14,18.6,Y
70339,2016,5,15,20.8,Y
70339,2016,5,16,19.4,Y
70339,2016,5,17,20.4,Y
70339,2016,5,18,15.5,Y
70339,2016,5,19,16.5,Y
70339,2016,5,20,19.6,Y
70339,2016,5,21,17.7,Y
70339,2016,5,22,21,Y
70339,2016,5,23,17.5,Y
70339,2016,5,24,17,Y
70339,2016,5,25,14.5,Y
70339,2016,5,26,12.2,Y
70339,2016,5,27,12.3,Y
70339,2016,5,28,12.1,Y
70339,2016,5,29,13.3,Y
70339,2016,5,30,14,Y
70339,2016,5,31,13.8,Y
70339,2016,6,1,13.6,Y
70339,2016,6,2,15.3,Y
70339,2016,6,3,14.8,Y
70339,2016,6,4,14.4,Y
70339,2016,6,5,15,Y
70339,2016,6,6,14.6,Y
70339,2016,6,7,11.5,Y
70339,2016,6,8,13.7,Y
70339,2016,6,9,14.3,Y
70339,2016,6,10,14.6,Y
70339,2016,6,11,13.7,Y
70339,2016,6,12,11.4,Y
70339,2016,6,13,14.4,Y
70339,2016,6,14,15.2,Y
70339,2016,6,15,14,Y
70339,2016,6,16,14.7,Y
70339,2016,6,17,13,Y
70339,2016,6,18,14.2,Y
70339,2016,6,19,12.6,Y
70339,2016,6,20,13.8,Y
70339,2016,6,21,11.3,Y
70339,2016,6,22,12.2,Y
70339,2016,6,23,11,Y
70339,2016,6,24,8.9,Y
70339,2016,6,25,10.1,Y
70339,2016,6,26,8,Y
70339,2016,6,27,10.8,Y
70339,2016,6,28,12.2,Y
70339,2016,6,29,12.8,Y
70339,2016,6,30,7.8,Y
70339,2016,7,1,12.7,Y
70339,2016,7,2,13.7,Y
70339,2016,7,3,12.9,Y
70339,2016,7,4,7,Y
70339,2016,7,5,7.2,Y
70339,2016,7,6,12.2,Y
70339,2016,7,7,13.9,Y
70339,2016,7,8,11.3,Y
70339,2016,7,9,13.9,Y
70339,2016,7,10,13.2,Y
70339,2016,7,11,13.7,Y
70339,2016,7,12,10.7,Y
70339,2016,7,13,6.2,Y
70339,2016,7,14,11.9,Y
70339,2016,7,15,13.2,Y
70339,2016,7,16,15.4,Y
70339,2016,7,17,16,Y
70339,2016,7,18,17.2,Y
70339,2016,7,19,18.7,Y
70339,2016,7,20,14.9,Y
70339,2016,7,21,14.5,Y
70339,2016,7,22,16.8,Y
70339,2016,7,23,10.7,Y
70339,2016,7,24,8.6,Y
70339,2016,7,25,10.1,Y
70339,2016,7,26,9.9,Y
70339,2016,7,27,11.7,Y
70339,2016,7,28,13.6,Y
70339,2016,7,29,13.7,Y
70339,2016,7,30,11.2,Y
70339,2016,7,31,15,Y
70339,2016,8,1,13.8,Y
70339,2016,8,2,9.8,Y
70339,2016,8,3,13,Y
70339,2016,8,4,12.3,Y
70339,2016,8,5,14.1,Y
70339,2016,8,6,12,Y
70339,2016,8,7,11.4,Y
70339,2016,8,8,14.2,Y
70339,2016,8,9,15.9,Y
70339,2016,8,10,15.9,Y
70339,2016,8,11,14,Y
70339,2016,8,12,10.6,Y
70339,2016,8,13,15.1,Y
70339,2016,8,14,15.6,Y
70339,2016,8,15,15.6,Y
70339,2016,8,16,17.9,Y
70339,2016,8,17,14.8,Y
70339,2016,8,18,18.1,Y
70339,2016,8,19,18.3,Y
70339,2016,8,20,9.9,Y
70339,2016,8,21,12.7,Y
70339,2016,8,22,13.3,Y
70339,2016,8,23,13.9,Y
70339,2016,8,24,10.5,Y
70339,2016,8,25,13.2,Y
70339,2016,8,26,12.9,Y
70339,2016,8,27,13.9,Y
70339,2016,8,28,13.7,Y
70339,2016,8,29,16.1,Y
70339,2016,8,30,18.7,Y
70339,2016,8,31,17.6,Y
70339,2016,9,1,17,N
70339,2016,9,2,10.7,N
70339,2016,9,3,15.6,N
70339,2016,9,4,15.5,N
70339,2016,9,5,16.1,N
70339,2016,9,6,19.9,N
70339,2016,9,7,18.5,N
70339,2016,9,8,19.7,N
70339,2016,9,9,14,N
70339,2016,9,10,14.5,N
70339,2016,9,11,16.1,N
70339,2016,9,12,17,N
70339,2016,9,13,16.5,N
70339,2016,9,14,16.6,N
70339,2016,9,15,12.7,N
70339,2016,9,16,15.8,N
70339,2016,9,17,17,N
70339,2016,9,18,11.9,N
70339,2016,9,19,16.7,N
70339,2016,9,20,14.5,N
70339,2016,9,21,11.8,N
70339,2016,9,22,15.2,N
70339,2016,9,23,17.7,N
70339,2016,9,24,18.7,N
70339,2016,9,25,18.3,N
70339,2016,9,26,16.4,N
70339,2016,9,27,14.4,N
70339,2016,9,28,17.1,N
70339,2016,9,29,14.3,N
70339,2016,9,30,12.1,N
70339,2016,10,1,13.4,N
70339,2016,10,2,19.3,N
70339,2016,10,3,14.2,N
70339,2016,10,4,13.1,N
70339,2016,10,5,14.3,N
70339,2016,10,6,22.2,N
70339,2016,10,7,22.8,N
70339,2016,10,8,19.3,N
70339,2016,10,9,17.9,N
70339,2016,10,10,17.7,N
70339,2016,10,11,14.3,N
70339,2016,10,12,15.8,N
70339,2016,10,13,16,N
70339,2016,10,14,18.8,N
70339,2016,10,15,20.9,N
70339,2016,10,16,23.6,N
70339,2016,10,17,16,N
70339,2016,10,18,16.5,N
70339,2016,10,19,16.4,N
70339,2016,10,20,18.7,N
70339,2016,10,21,21.5,N
70339,2016,10,22,12.5,N
70339,2016,10,23,16.2,N
70339,2016,10,24,18.4,N
70339,2016,10,25,21.9,N
70339,2016,10,26,25.2,N
70339,2016,10,27,24.6,N
70339,2016,10,28,18.8,N
70339,2016,10,29,23.7,N
70339,2016,10,30,21.9,N
70339,2016,10,31,16.8,N
70339,2016,11,1,17.8,N
70339,2016,11,2,20.6,N
70339,2016,11,3,24.2,N
70339,2016,11,4,24.8,N
70339,2016,11,5,18,N
70339,2016,11,6,21.7,N
70339,2016,11,7,25.6,N
70339,2016,11,8,28,N
70339,2016,11,9,23.8,N
70339,2016,11,10,24.7,N
70339,2016,11,11,26.9,N
70339,2016,11,12,26.3,N
70339,2016,11,13,17.8,N
70339,2016,11,14,19.1,N
70339,2016,11,15,21.5,N
70339,2016,11,16,25.1,N
70339,2016,11,17,25.7,N
70339,2016,11,18,30.6,N
70339,2016,11,19,31.6,N
70339,2016,11,20,30.2,N
70339,2016,11,21,30.1,N
70339,2016,11,22,31,N
70339,2016,11,23,20.2,N
70339,2016,11,24,22.4,N
70339,2016,11,25,24.7,N
70339,2016,11,26,25.3,N
70339,2016,11,27,26.1,N
70339,2016,11,28,28,N
70339,2016,11,29,27.3,N
70339,2016,11,30,29.4,N
70339,2016,12,1,28.3,Y
70339,2016,12,2,30.1,Y
70339,2016,12,3,30.6,Y
70339,2016,12,4,32.3,Y
70339,2016,12,5,31.4,Y
70339,2016,12,6,22.9,Y
70339,2016,12,7,26.3,Y
70339,2016,12,8,30.3,Y
70339,2016,12,9,21.5,Y
70339,2016,12,10,25,Y
70339,2016,12,11,27.2,Y
70339,2016,12,12,30.5,Y
70339,2016,12,13,33.2,Y
70339,2016,12,14,26.6,Y
70339,2016,12,15,14.6,Y
70339,2016,12,16,19.8,Y
70339,2016,12,17,27.3,Y
70339,2016,12,18,24.1,Y
70339,2016,12,19,25.7,Y
70339,2016,12,20,29.4,Y
70339,2016,12,21,28.2,Y
70339,2016,12,22,26.2,Y
70339,2016,12,23,31.2,Y
70339,2016,12,24,32.3,Y
70339,2016,12,25,31.1,Y
70339,2016,12,26,31,Y
70339,2016,12,27,30.9,Y
70339,2016,12,28,31.7,Y
70339,2016,12,29,29.3,Y
70339,2016,12,30,32.2,Y
70339,2016,12,31,31,Y
70339,2017,1,1,28,Y
70339,2017,1,2,28.6,Y
70339,2017,1,3,26,Y
70339,2017,1,4,24.7,Y
70339,2017,1,5,28.9,Y
70339,2017,1,6,29.7,Y
70339,2017,1,7,31.2,Y
70339,2017,1,8,30.6,Y
70339,2017,1,9,33.5,Y
70339,2017,1,10,32.4,Y
70339,2017,1,11,34.9,Y
70339,2017,1,12,33.9,Y
70339,2017,1,13,37.7,Y
70339,2017,1,14,29.9,Y
70339,2017,1,15,30.6,Y
70339,2017,1,16,35.5,Y
70339,2017,1,17,37.2,Y
70339,2017,1,18,36.6,Y
70339,2017,1,19,23,Y
70339,2017,1,20,29.6,Y
70339,2017,1,21,31.1,Y
70339,2017,1,22,31.9,Y
70339,2017,1,23,34.2,Y
70339,2017,1,24,32.4,Y
70339,2017,1,25,27.4,Y
70339,2017,1,26,32.2,Y
70339,2017,1,27,32.5,Y
70339,2017,1,28,34.8,Y
70339,2017,1,29,36.1,Y
